rank,en,pos,zh,definition,tracks,priority,issue_codes,defect_count,risk_count,heuristic_count,content_token_count,outside_vocab_ratio,advanced_token_ratio,harder_than_headword_ratio,outside_tokens,advanced_tokens
39,get,v.,得到、获得、变成,come into the possession of something concrete or abstract,life,P3,definition_too_advanced,0,0,1,5,0.000,0.600,1.000,,abstract|concrete|possession
53,there,adv.,在那里,a location other than here,life,P2,pos_definition_conflict,0,1,0,1,0.000,0.000,1.000,,
72,now,adv.,现在、刚才、目前,the momentary present,life,P2,pos_definition_conflict,0,1,0,2,0.000,0.500,1.000,,momentary
74,like,v.,喜欢、像,find enjoyable or agreeable,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,enjoyable,agreeable|enjoyable
93,no,adv.,不、没有,a negative,life,P2,pos_definition_conflict,0,1,0,1,0.000,0.000,1.000,,
96,here,adv.,在这里、此时、这里,the present location,life,P2,pos_definition_conflict,0,1,0,2,0.000,0.000,1.000,,
130,last,adj.,最后的、持续,the last or lowest in an ordering or series,life,P2,pos_definition_conflict,0,1,0,4,0.000,0.000,0.750,,
164,begin,v.,开始,"have a beginning, in a temporal, spatial, or evaluative sense",life,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.800,evaluative|temporal,evaluative|spatial|temporal
174,hand,n.,手、爪、指针,the (prehensile) extremity of the superior limb,life,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,1.000,1.000,extremity|prehensile,extremity|limb|prehensile|superior
177,show,n.,显示、表现、展览,the act of publicly exhibiting or entertaining,life,P3,definition_too_advanced,0,0,1,4,0.250,0.750,1.000,publicly,entertaining|exhibiting|publicly
191,system,n.,系统、体系、制度,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,9,0.333,0.667,0.889,artifacts|instrumentality|interrelated,artifacts|coherent|entity|instrumentality|interacting|interrelated
226,water,n.,水、雨水、海水,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid,life,P3,definition_too_advanced,0,0,1,10,0.400,0.600,1.000,binary|colorless|odorless|tasteless,binary|colorless|compound|liquid|odorless|tasteless
258,yes,adv.,是,an affirmative,life,P2,pos_definition_conflict,0,1,0,1,1.000,1.000,1.000,affirmative,affirmative
264,around,prep.,包围、在...周围、四处,by a circular or circuitous route,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,circuitous,circuitous|circular
301,white,adj.,白色的,having the colour of fresh snow or milk,life,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,1.000,colour|milk,colour|milk
367,himself,pron.,他自己、他亲自,An emphasized form of the third person masculine,life,P2,pos_definition_conflict,0,1,0,5,0.000,0.200,0.800,,masculine
376,education,n.,教育、训练、教育学,the activities of educating or instructing,life+cet4+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,educating|instructing
407,sense,n.,感应、感觉、感官,a general conscious awareness,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,awareness,awareness|conscious
419,someone,pron.,有人、某人,a human being,life,P2,pos_definition_conflict,0,1,0,1,0.000,0.000,0.000,,
460,heart,n.,心、心脏、中心,the locus of feelings and intuitions,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,locus,intuitions|locus
464,light,n.,光、灯,(physics) electromagnetic radiation that can produce a visual sensation,life,P3,definition_too_advanced,0,0,1,6,0.167,0.667,1.000,electromagnetic,electromagnetic|physics|radiation|sensation
480,explain,v.,解释、说明,make plain and comprehensible,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,comprehensible,comprehensible|plain
499,value,n.,价值、价格、购买力,a numerical quantity measured or assigned or computed,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.000,0.600,1.000,,computed|numerical|quantity
528,matter,n.,事件、物质、原因,a vaguely specified concern,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,vaguely,specified|vaguely
546,oil,n.,油、石油、油画颜料,a slippery or viscous liquid or liquefiable substance not miscible with water,life+cet4+postgrad,P3,definition_too_advanced,0,0,1,7,0.286,0.714,0.857,liquefiable|miscible,liquefiable|liquid|miscible|slippery|viscous
556,itself,pron.,它本身、它自己,The neuter reciprocal pronoun of It,life,P2,definition_too_advanced|pos_definition_conflict,0,1,1,3,0.333,1.000,1.000,neuter,neuter|pronoun|reciprocal
560,cover,v.,覆盖、包括、保护,the act of concealing the existence of something by obstructing the view of it,life,P2,pos_definition_conflict,0,1,0,6,0.000,0.333,0.667,,concealing|obstructing
563,clear,adj.,清楚的、明确的、澄清的,the state of being free of suspicion,life,P2,pos_definition_conflict,0,1,0,3,0.000,0.333,0.333,,suspicion
577,certain,adj.,确定的、某一个的、必然的,definite but not specified or identified,life+cet4+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,definite|specified
586,catch,v.,抓住、赶上、接住,a drawback or difficulty that is not readily evident,life,P2,definition_too_advanced|pos_definition_conflict,0,1,1,4,0.000,0.750,1.000,,drawback|evident|readily
592,draw,v.,拉、拖、拔剑,a gully that is shallower than a ravine,life,P2,definition_too_advanced|high_outside_vocab_ratio|pos_definition_conflict,0,1,2,3,1.000,1.000,1.000,gully|ravine|shallower,gully|ravine|shallower
655,wrong,adj.,错误的、不正当的、失常的,contrary to conscience or morality or law,life,P3,definition_too_advanced,0,0,1,4,0.000,0.750,0.750,,conscience|contrary|morality
677,throw,v.,投、掷、抛,the act of throwing (propelling something with a rapid movement of the arm and wrist),life,P2,pos_definition_conflict,0,1,0,8,0.000,0.375,0.625,,propelling|rapid|wrist
720,similar,adj.,相似的、类似的,marked by correspondence or resemblance,life,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,correspondence|resemblance
748,exactly,adv.,确切地、精确地、恰好,indicating exactness or preciseness,life+cet4,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,1.000,exactness|preciseness,exactness|preciseness
792,herself,pron.,她自己、她亲自,An emphasized form of the third person feminine,life,P2,pos_definition_conflict,0,1,0,5,0.000,0.200,0.400,,feminine
795,box,n.,盒子、箱、方框,a (usually rectangular) container,life,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,container|rectangular
797,pretty,adj.,漂亮的、优美的、机灵的,pleasing by delicacy or grace,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,delicacy|grace
820,glass,n.,玻璃、玻璃杯、透镜,a brittle transparent solid with irregular atomic structure,life,P3,definition_too_advanced,0,0,1,6,0.000,0.667,1.000,,atomic|brittle|irregular|transparent
829,France,n.,法国,a republic in western Europe,cet4+cet6,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,europe,europe|republic
830,OK,adj.,好、不错、可以,being satisfactory or in satisfactory condition,life,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,satisfactory
885,cold,n.,感冒、寒冷,a mild viral infection involving the nose and respiratory passages (but not the lungs),life+cet4+postgrad,P3,definition_too_advanced,0,0,1,8,0.375,0.625,0.875,passages|respiratory|viral,lungs|mild|passages|respiratory|viral
887,final,adj.,最后的、最终的,conclusive in a process or progression,life+cet4+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,progression,conclusive|progression
893,above,prep.,在上方、超出,an earlier section of a written text,life,P2,pos_definition_conflict,0,1,0,4,0.000,0.000,0.250,,
927,reveal,v.,露出、显示、透露,disclose directly or through prophets,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,disclose|prophets
929,Germany,n.,德国,a republic in central Europe,cet4+cet6,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,europe,europe|republic
938,apply,v.,涂、应用,be pertinent or relevant or applicable,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,applicable|pertinent
996,stuff,n.,原料、要素、东西,miscellaneous unspecified objects,life+cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,1.000,miscellaneous|unspecified,miscellaneous|unspecified
1000,somebody,pron.,某人、有人,a human being,life,P2,pos_definition_conflict,0,1,0,1,0.000,0.000,0.000,,
1012,tough,adj.,艰难的、强硬的,not given to gentleness or sentimentality,life+cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,gentleness|sentimentality,gentleness|sentimentality
1036,beat,n.,心跳(声)、打、敲打声,a regular route for a sentry or policeman,life,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,1.000,policeman|sentry,policeman|sentry
1039,tend,v.,走向、有某种的倾向、易于,have a tendency or disposition to do or be something,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,disposition|tendency
1049,positive,adj.,肯定的、积极的、有把握的,characterized by or displaying affirmation or acceptance or certainty etc.,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,0.667,1.000,affirmation|etc,acceptance|affirmation|certainty|etc
1062,nor,conj.,也不、也没有,"A negative connective or particle, introducing the second",life,P2,pos_definition_conflict,0,1,0,5,0.200,0.400,0.800,connective,connective|particle
1086,none,pron.,没有一个、毫无,a canonical hour that is the ninth hour of the day counting from sunrise,life,P2,pos_definition_conflict,0,1,0,7,0.286,0.429,0.571,canonical|ninth,canonical|ninth|sunrise
1090,senior,n.,年长者、资深者、毕业班学生,an undergraduate student during the year preceding graduation,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,graduation,graduation|preceding|undergraduate
1141,species,n.,物种、种类,(biology) taxonomic group whose members can interbreed,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.600,interbreed|taxonomic,biology|interbreed|taxonomic
1142,immediately,adv.,直接地、立刻、立即,without delay or hesitation,life+cet4+cet6,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,hesitation,delay|hesitation
1150,plane,n.,平面、扁平物、机翼,(mathematics) an unbounded two-dimensional shape,life,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.800,dimensional|unbounded,dimensional|mathematics|unbounded
1151,nobody,pron.,没有人、无人,a person of no influence,life,P2,pos_definition_conflict,0,1,0,2,0.000,0.000,0.500,,
1153,object,n.,物体、目标、对象,a tangible and visible entity,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,tangible,entity|tangible
1175,investigation,n.,调查、审查,the work of inquiring into something thoroughly and systematically,life+cet4+cet6,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.600,,inquiring|systematically|thoroughly
1194,dozen,n.,打、十二个,the cardinal number that is the sum of eleven and one,life+cet4+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,eleven,cardinal|eleven|sum
1218,Chinese,n.,中文、中国话、中国人,any of the Sino-Tibetan languages spoken in China,life,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,5,0.600,0.600,0.600,china|sino|tibetan,china|sino|tibetan
1226,driver,n.,驾驶员、驱动器、驱动程序,the operator of a motor vehicle,life,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,motor|operator
1232,Christmas,n.,圣诞节,period extending from Dec. 24 to Jan. 6,life+cet4+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.750,dec|jan,dec|jan
1237,truck,n.,卡车、货车、对...进行交易,an automotive vehicle suitable for hauling,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.250,0.750,1.000,automotive,automotive|hauling|suitable
1263,European,n.,欧洲人,a native or inhabitant of Europe,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,europe,europe|inhabitant
1267,shape,n.,形状、形态、外形,any spatial attributes (especially as defined by outline),life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.600,,attributes|outline|spatial
