rank,en,pos,zh,definition,tracks,priority,issue_codes,defect_count,risk_count,heuristic_count,content_token_count,outside_vocab_ratio,advanced_token_ratio,harder_than_headword_ratio,outside_tokens,advanced_tokens
1,the,art.,这、那（特指）,used before a noun when the person or thing is specific or already known,life,AUTO_CLEAR,,0,0,0,7,0.000,0.143,1.000,,noun
2,be,v.,是、表示、在,have the quality of being,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
3,and,conj.,和、与、并且,"used to join words, phrases, or ideas",life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
4,of,prep.,的、属于,"used to show belonging, connection, amount, or part of something",life,AUTO_CLEAR,,0,0,0,7,0.000,0.000,1.000,,
5,a,art.,一个、任一,used before one person or thing that is not specific,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
6,in,prep.,在……里面、在……期间,inside a place or during a period of time,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
7,to,prep.,到、向、给,"used to show movement, direction, a receiver, or an end point",life,AUTO_CLEAR,,0,0,0,7,0.000,0.143,1.000,,receiver
8,have,v.,有、拥有、经历,"to own, hold, contain, or experience something",life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
10,it,pron.,它,"used for a thing, animal, situation, or idea already mentioned",life,AUTO_CLEAR,,0,0,0,7,0.000,0.000,1.000,,
11,I,pron.,我,used by the speaker to refer to himself or herself,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
12,that,adj.,那、那个,used to point to a particular person or thing farther away or already mentioned,life,AUTO_CLEAR,,0,0,0,9,0.000,0.111,1.000,,farther
13,for,prep.,为、给、因为,"used to show purpose, reason, a receiver, or a period of time",life,AUTO_CLEAR,,0,0,0,7,0.000,0.143,1.000,,receiver
14,you,pron.,你、你们,used to refer to the person or people being spoken to,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
15,he,pron.,他,used for a male person or boy already mentioned,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
16,with,prep.,和……一起、用、带有,"together with someone or using, having, or feeling something",life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
17,on,prep.,在……上面、在……时候,touching or supported by a surface; also used for a particular day,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
18,do,v.,做、进行、完成,get (something) done,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
19,say,v.,说、讲、念,communicate or express nonverbally,life,AUTO_CLEAR,,0,0,0,3,0.333,0.333,1.000,nonverbally,nonverbally
