status,word,tracks,source_pos,source_gloss,corpus_pos,dominant_count,dominance,source_pos_count,source_pos_share,candidate_gloss,final_pos,final_gloss
corrected,exploit,cet4+cet6+postgrad,n.,功绩、勋绩,v.,821,1.000,0,0.000,开发、利用、开拓,v.,利用、开发、剥削
corrected,incorporate,cet6+postgrad,adj.,合并的、组成公司的、一体化的,v.,527,1.000,0,0.000,吸收、合并、使组成公司,v.,包含、合并、使并入
corrected,indispensable,cet4+cet6+postgrad,n.,不可缺少之物,adj.,155,1.000,0,0.000,不可缺少的、责无旁贷的、绝对必要的,adj.,不可缺少的、必不可少的
corrected,retire,cet4+cet6+postgrad,n.,隐居,v.,1859,1.000,0,0.000,引退、退役、退休,v.,退休、退役、退出
corrected,revise,cet4+cet6+postgrad,n.,校订、修正、改样,v.,330,1.000,0,0.000,校订、修正、校正,v.,修改、修订、复习
corrected,rotate,cet4+cet6+postgrad,adj.,辐状的,v.,345,1.000,0,0.000,使旋转、使转动、使轮流,v.,旋转、转动、轮换
corrected,safeguard,cet6+postgrad,n.,保卫、保护措施、防护设施,v.,559,1.000,0,0.000,保卫、保护,v.,保护、保卫
corrected,sometime,cet4+cet6+postgrad,adj.,以前的、某一时间的,adv.,1297,1.000,0,0.000,改天、来日,adv.,某个时候、改天
corrected,wring,cet6,n.,扭绞、拧、挤,v.,111,1.000,0,0.000,拧、绞、扭,v.,拧、绞、扭
corrected,many,life,n.,多数、多数人,adj.,149481,0.999,0,0.000,许多的,adj.,许多的、许多
corrected,substantial,cet4+cet6+postgrad,n.,重要材料(或事物)、有实际价值的东西,adj.,3174,0.999,0,0.000,实质上的、物质的、有内容的,adj.,大量的、实质的、重要的
corrected,dependent,cet4+cet6+postgrad,n.,依赖他人者,adj.,1665,0.998,0,0.000,依赖的、从属的,adj.,依赖的、取决于…的
corrected,disrupt,cet6+postgrad,adj.,分裂的、中断的,v.,500,0.998,0,0.000,使分裂、使瓦解,v.,扰乱、使中断、破坏
corrected,meanwhile,life+cet4+cet6+postgrad,n.,其时、其间,adv.,6109,0.998,14,0.002,同时、于此时,adv.,同时、在此期间
corrected,entire,life+cet4+cet6+postgrad,n.,整个、全部,adj.,10529,0.997,12,0.001,全体的、完全的、全部的,adj.,全部的、整个的
corrected,melt,cet4+cet6+postgrad,n.,熔化、熔化物、溶解,v.,2014,0.997,1,0.000,(使)熔化、(使)溶解、(使)消散,v.,融化、熔化
corrected,normal,life+cet4+cet6+postgrad,n.,常态、标准、正常,adj.,16195,0.997,0,0.000,正常的、正规的、标准的,adj.,正常的、通常的
corrected,nowadays,cet4+cet6+postgrad,n.,现在、现时、当今,adv.,2830,0.996,1,0.000,时下、现今,adv.,现今、如今
corrected,reject,cet4+cet6+postgrad,n.,被拒之人、被弃之物、不合格品,v.,1109,0.996,2,0.002,拒绝、抵制、否决,v.,拒绝、驳回、摒弃
corrected,cancel,cet4+cet6+postgrad,n.,取消、撤消、盖销(邮票),v.,1791,0.994,7,0.004,取消、删去、抵销,v.,取消、撤销
corrected,wipe,cet4+cet6+postgrad,n.,擦拭、用力打、凸轮,v.,1978,0.993,0,0.000,擦、揩、消灭,v.,擦、擦去
corrected,elect,cet4+postgrad,n.,当选人、被选的人,v.,858,0.992,0,0.000,选举、选择,v.,选举、选择
corrected,mediate,cet6,adj.,居间的、间接的,v.,91,0.989,0,0.000,斡旋、调停,v.,调停、调解
