word,primary_pos,primary_zh,secondary_pos,secondary_zh,keep_secondary,dominance,source_pos_count,source_pos_share
accessory,adj.,附属的、补充的、同谋的,n.,附件、零件、附加物,no,0.998,0,0.000
addict,n.,入迷的人、上瘾者,vt.,使沉溺、使上瘾,no,0.993,0,0.000
African,adj.,非洲的、非洲人的,n.,非洲人,no,0.903,0,0.000
ahead,adv.,领先、预先、向前,adj.,领先的、预先的、向前的,no,0.999,0,0.000
alien,adj.,外国的、相异的,n.,外国人、外侨,yes,0.748,533,0.169
alike,adv.,一样、以同样的方式,adj.,相似的、同样的,no,0.996,1,0.001
alone,adv.,独自地,adj.,孤独的、单独的、独自的,yes,0.970,568,0.026
American,adj.,美国的、美洲的,n.,美国人,yes,0.846,0,0.000
anchor,v.,抛锚停泊、使固定,n.,锚,no,0.907,0,0.000
annual,adj.,每年的、一年一次的、全年的,n.,年刊、年报,no,1.000,0,0.000
archive,n.,档案馆、档案文件,vt.,把...存档,no,0.889,0,0.000
articulate,v.,明白地说、以关节连接、使成为系统的整体,adj.,发音清晰的、口才好的,no,0.998,0,0.000
aside,adv.,在一边、离开、另外,n.,小声说的话、旁白,no,0.935,0,0.000
assist,v.,帮助、促进,n.,帮助、协助,no,0.991,3,0.002
avail,n.,效用、利益,vi.,有用、有利,no,0.993,1,0.007
back,adv.,向后地,adj.,后面的,yes,0.823,11618,0.032
bankrupt,adj.,破产的,n.,破产者,no,0.920,0,0.000
basic,adj.,基本的、碱性的,n.,基本原理、要素、基本规律,no,0.994,16,0.002
beat,v.,打、拍打、打败,n.,心跳(声)、打、敲打声,yes,0.790,4494,0.189
bet,v.,打赌,n.,打赌、赌注,yes,0.722,3382,0.264
black,adj.,黑色的,n.,黑色、黑颜料,no,0.798,90,0.002
blackmail,v.,勒索,n.,勒索,yes,0.905,40,0.078
blame,v.,责备、归咎于,n.,过失、责备,yes,0.803,1777,0.193
blank,adj.,空白的、空虚的、完全的,n.,空格、空白,yes,0.800,369,0.141
bleach,n.,漂白、漂白剂,vt.,漂白,no,0.961,1,0.003
blind,adj.,盲目的、瞎的、不加思考的,n.,蒙蔽物、窗帘,no,0.911,0,0.000
blue,adj.,蓝色的、下流的、忧郁的,n.,蓝色,yes,0.738,1408,0.048
boast,v.,吹牛、自夸,n.,吹牛,yes,0.747,137,0.229
bore,v.,使烦扰、钻孔,n.,令人讨厌的人、激浪、枪膛,no,0.983,10,0.009
bound,v.,跳跃、弹起,n.,跃、回跳、范围,no,0.985,0,0.000
brace,v.,紧缚、支撑、激励,n.,支柱、曲柄、支撑,no,0.697,0,0.000
brave,v.,勇敢地面对,adj.,勇敢的、美好的、华丽的,no,0.942,1,0.000
bristle,v.,直立、发怒、充满,n.,刚毛、猪鬃,no,0.742,0,0.000
brute,adj.,残忍的、无理性的、畜生的,n.,畜生、残忍或好色之人,no,0.944,0,0.000
call,v.,呼叫、召集、打电话,n.,呼叫、访问、打电话,yes,0.696,20758,0.300
captive,adj.,被俘的、被迷住的,n.,俘虏、迷恋者,yes,0.928,17,0.034
capture,v.,抓取、获得、迷住,n.,抓取、战利品、捕获之物,yes,0.745,758,0.242
carry,v.,携带、运送、支持,n.,进位、射程、运载,no,0.978,7,0.000
catch,v.,捕捉、赶上、感染,n.,捕捉、陷阱、捕捉之物,yes,0.849,3236,0.145
cease,v.,停止、终了,n.,停止,no,0.989,3,0.005
censor,v.,检查、审查、删改,n.,检查员,no,0.965,0,0.000
characteristic,adj.,特性的、特有的、有特色的,n.,特性、特征、特色,yes,0.666,222,0.332
chat,v.,闲谈、聊天,n.,闲谈,no,0.993,0,0.000
cheat,v.,欺骗、逃脱、骗取,n.,欺骗、作弊、骗子,yes,0.965,42,0.028
check,v.,检查、阻止、核对,n.,检查、支票、阻止物,yes,0.787,5367,0.213
Chinese,adj.,中国的、中国话的,n.,中文、中国话、中国人,yes,0.864,4,0.000
chop,v.,剁碎、砍、切击,n.,肋条肉、排骨、砍,no,0.984,27,0.007
civilian,adj.,平民的、民用的,n.,平民,yes,0.995,0,0.000
classic,adj.,第一流的、最优秀的、古典的,n.,古典作品、杰作、大艺术家,yes,0.905,768,0.078
cold,adj.,寒冷的、冷淡的、冷静的,n.,感冒、寒冷,yes,0.857,1711,0.066
comic,adj.,滑稽的、有趣的、喜剧的,n.,连环漫画、喜剧演员、滑稽的人,yes,0.760,131,0.043
commonplace,adj.,平凡的、普通的,n.,寻常事、老生常谈、普通的东西,yes,0.654,110,0.340
complement,v.,补充、补足,n.,补足物、补语、补数,yes,0.987,6,0.011
complex,adj.,复杂的、组合的,n.,综合体、情结、络合物,yes,0.833,931,0.167
concentrate,v.,集中、专心,n.,浓缩、精选,yes,0.885,528,0.114
consequent,adj.,作为结果的、合乎逻辑的,n.,随后发生的事情、结果,no,1.000,0,0.000
conserve,v.,保存、使(能量等)守恒,n.,蜜饯、果酱,no,1.000,0,0.000
constant,adj.,不变的、一定的、时常的,n.,常数、恒量,no,1.000,0,0.000
contemporary,adj.,同时代的、属于同一时期的,n.,同时代的人,no,0.944,0,0.000
convert,v.,使改变信仰、转换、兑换,n.,皈依者、改变宗教信仰者,no,0.999,0,0.000
convict,v.,宣告有罪、使知罪,n.,囚犯、罪犯,no,0.945,0,0.000
cook,v.,烹调、煮饭、加热,n.,厨子、厨师,yes,0.679,3696,0.170
cool,adj.,凉爽的、冷淡的、冷静的,n.,凉爽、凉爽的空气,yes,0.727,1305,0.056
coordinate,v.,(使)协调,n.,同等的人(或物)、坐标,no,0.984,0,0.000
cordial,adj.,热忱的、诚恳的、有兴奋作用的,n.,兴奋剂、补品,yes,0.754,50,0.216
correlate,v.,使有相互关系,n.,有相互关系的东西、相关物,no,0.839,4,0.129
crank,v.,装曲柄,adj.,不稳的、脾气暴燥的、易怒的,no,0.945,0,0.000
criminal,adj.,犯了罪的、刑事的、有罪的,n.,罪犯、犯人、刑事,yes,0.851,435,0.061
cry,v.,哭、叫、喊,n.,叫声、哭声、大叫,yes,0.677,2178,0.295
curb,v.,抑制、束缚、勒住,n.,抑制、勒马绳、边石,yes,0.714,89,0.243
curl,v.,弄卷,n.,拳曲、鬈发,yes,0.949,11,0.021
current,adj.,流通的、现在的、当前的,n.,涌流、趋势、流,yes,0.984,193,0.015
cut,v.,切、割、减少,n.,切口、割伤、降低,yes,0.728,9932,0.220
damp,adj.,潮湿的,n.,潮湿、湿气,no,0.851,0,0.000
dare,v.,敢、胆敢,n.,挑战、挑动、大胆,no,0.918,2,0.000
dark,adj.,黑暗的、暗的、深色的,n.,黑暗、夜、黄昏,yes,0.877,2140,0.123
degenerate,v.,退化、堕落,adj.,堕落的,no,0.988,0,0.000
despatch,n.,派遣,v.,派遣,yes,0.671,20,0.127
digest,v.,消化,n.,文摘,no,0.871,0,0.000
dip,n.,浸、涉猎,v.,浸、降下、把(手、勺等)伸入,yes,0.693,983,0.292
disguise,v.,假装、隐瞒,n.,假面目、假装,no,0.984,4,0.003
dislike,v.,讨厌、不喜欢,n.,嫌恶,yes,0.681,210,0.317
drum,v.,击鼓、作鼓声,n.,鼓、鼓声,yes,0.757,351,0.081
due,adj.,到期的、应得的、应付的,n.,应得的东西、应付款,no,0.985,0,0.000
duplicate,v.,复制、使加倍,n.,副本、复本、复制品,no,1.000,0,0.000
eccentric,adj.,古怪的、反常的、不同圆心的,n.,怪人、偏心圆,no,0.988,0,0.000
echo,v.,发回声、随声附和,n.,回声、回音、回波,no,0.704,0,0.000
eclipse,v.,引起日食、引起月食、使黯然失色,n.,日食、月食、(地位名誉等的)消失,no,0.872,0,0.000
Egyptian,adj.,埃及的、埃及人的,n.,埃及人,yes,0.969,0,0.000
elastic,adj.,有弹性的、能伸缩的、可通融的,n.,松紧带、橡皮筋,yes,0.878,37,0.069
elder,adj.,年长的、资深的,n.,年长者、老人、前辈,no,0.783,0,0.000
else,adv.,另外、否则、不然,adj.,别的、其他的,yes,0.976,1530,0.024
embrace,v.,拥抱、互相拥抱、包含,n.,拥抱,no,0.990,7,0.005
employ,v.,雇用、使用、使从事于,n.,雇用,no,0.999,0,0.000
enough,adv.,足够,n.,充足、够、很多,no,0.700,448,0.005
equal,adj.,相等的、平等的、胜任的,n.,对手、匹敌、同辈,no,0.918,0,0.000
erect,v.,使竖立、使直立、树立,adj.,直立的、竖立的、笔直的,no,0.988,0,0.000
essential,adj.,必要的、重要的、本质的,n.,要素、要点、本质,no,0.998,0,0.000
European,adj.,欧洲的、欧洲人的,n.,欧洲人,no,0.735,1,0.000
even,adv.,甚至、实际上、完全,adj.,平坦的、相等的、连贯的,no,0.999,85,0.001
evil,adj.,邪恶的、不幸的、有害的,n.,邪恶、不幸、罪恶,yes,0.691,1063,0.187
exempt,adj.,免除的,n.,免税者、被免除义务者,no,0.907,0,0.000
explosive,adj.,易爆发的、爆炸的、暴躁的,n.,炸药、爆破音,no,0.983,0,0.000
external,adj.,外部的、客观的、表面的,n.,外部、外面,no,0.972,0,0.000
extra,adj.,额外的、特别的,n.,额外的事物、另外的收费,no,0.983,37,0.002
extract,v.,(费力地)取出、采掘、榨取,n.,榨出物、精汁、摘录,yes,0.997,0,0.000
extreme,adj.,极端的、尽头的、极度的,n.,极端、末端,yes,0.883,478,0.090
fahrenheit,n.,华氏温度计,adj.,华氏温度计的,no,1.000,0,0.000
